Таблица гликемических индексов;
Наименование;Гликемический индекс
финики;103
рисовая каша быстрого приготовления ;90
кукурузные хлопья;85
картофельное пюре быстрого приготовления;83
крекеры;80
мюсли с орехами и изюмом;80
пшено;71
мармелад, джем с сахаром;70
марс, сникерс (батончики);70
рис белый, обработанный паром;70
сахар (сахароза);70
шоколад молочный;70
мука пшеничная;69
овсяная каша, быстрорастворимая;66
суп-пюре из зеленого сухого гороха;66
изюм;64
макароны с сыром;64
печенье песочное;64
оладьи из пшеничной муки;62
твикс;62
суп-пюре из желтого гороха;60
печенье овсяное;55
печенье сдобное;55
суп томатный;52
гречка;50
спагетти, макароны;50
щербет;50
овсяная каша;49
М&Ms;46
вермишель китайская;35
курага;35
горох желтый дробленый;22
чечевица зеленая;22
шоколад черный (70% какао);22
орехи грецкие;15
грибы;10
чеснок;10
семечки посолнуха;8
